HOME_TEAM_HOME_WINS,HOME_TEAM_ROAD_WINS,AWAY_TEAM_HOME_WINS,AWAY_TEAM_ROAD_WINS,HOME_TEAM_HTH_RECORD,AWAY_TEAM_HTH_RECORD,HOME_TEAM_FORM_0,AWAY_TEAM_FORM_0,HOME_TEAM_FORM_1,AWAY_TEAM_FORM_1,HOME_TEAM_FORM_2,AWAY_TEAM_FORM_2,HOME_TEAM_WIN_RECORD,AWAY_TEAM_WIN_RECORD,HOME_TEAM_PPG,HOME_TEAM_PAPG,AWAY_TEAM_PPG,AWAY_TEAM_PAPG,HOME_TEAM_WINS
0.6,0.375,0.5,0.455,3,0,1,0,0,0,0,1,7,6,103,103,94,93,0
0.556,0.333,0.455,0.25,0,2,1,0,0,1,0,0,6,5,97,103,104,108,0
0.222,0.667,0.636,0.556,1,1,1,1,0,0,0,1,6,10,101,102,102,99,1
0.636,0.5,0.429,0.182,1,1,1,1,1,0,0,0,9,3,109,104,96,104,1
0.556,0.333,0.444,0.6,1,2,0,0,0,1,1,1,6,8,100,102,97,97,1
0.6,0.375,0.444,0.111,4,0,0,1,0,1,1,0,7,3,104,102,102,108,0
0.889,0.556,0.625,0.545,4,0,1,0,1,0,0,1,11,9,100,91,101,101,1
0.667,0.538,0.9,0.5,2,1,1,1,1,1,0,1,9,11,100,96,104,97,1
0.545,0.5,0.5,0.5,1,3,1,0,0,0,0,1,8,6,101,98,102,106,1
0.8,0.333,0.9,0.444,4,0,1,0,1,1,1,1,9,11,104,100,104,97,0
0.4,0.444,0.9,0.556,0,3,0,1,0,1,0,1,6,12,100,105,99,90,0
0.333,0.429,0.111,0.091,1,1,0,0,0,0,0,0,5,0,99,106,89,102,1
0.667,0.556,0.75,0.556,2,2,1,1,1,0,1,1,9,9,101,95,99,98,1
0.545,0.375,0.444,0.2,3,1,0,1,1,1,0,1,7,4,102,103,103,109,1
0.667,0.455,0.636,0.5,2,0,1,0,1,1,0,0,9,10,96,99,102,99,0
0.444,0.545,0.75,0.333,1,3,0,0,0,1,1,1,8,9,97,97,96,92,0
0.667,0.5,0.625,0.455,2,0,1,1,1,0,1,0,10,8,109,103,96,96,1
0.6,0.333,0.5,0.333,2,2,1,0,0,1,0,0,7,6,100,101,98,105,1
0.545,0.375,0.909,0.889,2,2,0,1,0,1,0,1,7,16,105,103,114,98,0
0.455,0.333,0.3,0.667,2,2,1,1,0,1,1,0,6,7,106,108,101,101,0
0.9,0.5,0.429,0.167,2,2,1,0,0,1,1,0,12,3,103,97,96,104,1
0.625,0.5,0.364,0.444,1,3,0,0,0,0,0,0,9,6,100,100,98,104,1
0.909,0.9,0.417,0.333,4,0,1,0,1,1,1,0,17,6,115,99,105,108,1
0.444,0.364,0.25,0.2,2,1,0,0,1,0,1,0,6,2,100,101,96,105,1
0.9,0.6,0.636,0.545,2,0,1,1,1,0,1,1,13,11,98,89,102,99,1
0.5,0.5,0.444,0.182,2,2,1,0,0,1,0,1,7,4,95,93,102,109,1
0.5,0.444,0.714,0.538,1,3,0,1,0,1,0,1,6,10,100,106,101,96,0
0.429,0.154,0.625,0.417,1,3,0,0,0,1,1,0,3,8,96,103,96,96,1
0.727,0.333,0.5,0.3,4,0,0,0,1,0,1,1,9,6,103,99,97,106,1
0.583,0.375,0.3,0.7,4,0,1,1,0,1,1,1,8,8,103,102,101,101,1
0.25,0.182,0.7,0.556,0,2,0,1,0,1,0,1,2,10,96,105,101,95,0
0.6,0.455,0.111,0.083,2,0,0,0,1,0,1,0,9,0,96,100,91,103,1
0.4,0.545,0.385,0.429,0,2,0,1,0,0,0,0,8,6,96,97,100,107,0
0.636,0.333,0.583,0.5,1,3,1,1,1,1,0,0,8,9,101,100,102,96,1
0.714,0.571,0.5,0.375,0,2,1,0,1,0,1,0,11,7,100,95,106,105,0
0.636,0.5,0.692,0.5,0,2,0,1,1,1,0,1,11,11,102,100,109,102,1
0.75,0.5,0.909,0.6,1,1,0,1,1,1,0,1,9,14,99,98,99,89,1
0.625,0.385,0.385,0.5,0,2,0,1,0,1,1,0,8,7,95,96,101,107,1
0.615,0.375,0.5,0.364,1,2,1,1,1,0,0,1,9,7,103,102,100,100,1
0.75,0.429,0.583,0.444,1,2,1,0,0,1,1,1,10,9,96,91,101,97,0
0.5,0.273,0.364,0.4,0,2,0,0,0,0,0,0,6,6,96,105,97,103,1
0.417,0.3,0.667,0.5,1,3,0,1,0,0,1,0,6,10,104,109,100,99,1
0.571,0.5,0.917,0.9,0,4,1,1,1,1,0,1,8,18,95,93,115,99,0
0.5,0.154,0.5,0.444,2,0,1,1,0,0,0,0,4,8,95,102,106,105,1
0.909,0.5,0.444,0.444,2,2,1,0,1,0,0,0,13,6,103,96,99,105,0
0.3,0.636,0.667,0.333,1,1,0,1,1,1,1,1,8,9,101,101,101,100,0
0.444,0.167,0.636,0.455,3,1,0,1,0,0,1,1,4,10,101,108,96,99,0
0.111,0.077,0.222,0.182,1,1,0,0,0,0,0,0,0,2,90,102,97,106,1
0.5,0.333,0.667,0.462,1,2,0,0,1,1,0,0,7,10,100,101,100,99,0
0.667,0.5,0.625,0.571,2,2,1,0,0,1,1,1,12,11,102,100,100,96,0
0.778,0.5,0.364,0.364,1,1,1,0,0,0,1,0,10,6,98,98,96,103,1
0.75,0.333,0.917,0.909,2,0,1,1,0,1,1,1,10,19,102,98,115,99,0
0.667,0.385,0.5,0.4,1,1,1,0,0,1,0,0,9,8,96,96,105,104,1
0.385,0.444,0.4,0.167,3,1,0,0,1,0,1,0,7,4,101,107,101,109,1
0.643,0.375,0.7,0.6,0,2,1,1,1,1,1,1,10,11,103,101,101,95,0
0.364,0.545,0.2,0.077,3,1,0,1,0,0,0,0,8,1,96,98,91,102,1
