HOME_TEAM_HOME_WINS,HOME_TEAM_HOME_LOSES,HOME_TEAM_ROAD_WINS,HOME_TEAM_ROAD_LOSES,AWAY_TEAM_HOME_WINS,AWAY_TEAM_HOME_LOSES,AWAY_TEAM_ROAD_WINS,AWAY_TEAM_ROAD_LOSES,HOME_TEAM_FORM,AWAY_TEAM_FORM,HOME_TEAM_RAPTOR,AWAY_TEAM_RAPTOR,HOME_TEAM_WINS
11,2,4,5,6,6,4,5,3,1,1731.4330232262698,1416.8966793666198,1
8,2,2,9,5,3,6,7,0,2,1565.6804774095099,1607.7183006442199,0
2,6,7,6,6,4,6,4,1,1,1592.55491101995,1540.54201534303,0
6,5,2,7,4,4,5,6,2,0,1534.6113095525302,1625.9763289591401,1
9,3,5,4,6,4,5,5,3,1,1613.4454490136402,1552.75032497099,1
7,3,4,4,3,6,4,9,3,2,1473.6088079498402,1320.44867029856,1
7,3,5,5,9,2,9,2,0,3,1470.05456324869,1657.58248609608,0
3,8,4,5,3,7,2,9,1,2,1491.52757743457,1310.8229316385,0
3,7,1,9,6,4,7,4,1,2,1356.7526404591902,1546.0062713301902,0
3,7,5,7,2,6,8,6,0,2,1458.33798137944,1578.3032750877999,0
8,3,3,7,3,7,2,10,2,2,1507.1980485445301,1322.18447507959,1
4,5,5,6,8,2,2,7,0,3,1588.08394891763,1415.4829962165802,0
9,1,5,5,3,7,1,10,3,0,1504.7049529619599,1368.07559106767,1
11,2,4,4,3,9,2,8,2,0,1647.53627106041,1317.7687259199001,1
9,3,2,8,6,3,4,8,3,1,1560.50116862573,1444.8180109034197,1
9,2,2,9,6,5,2,8,1,2,1556.4079512265303,1524.80890831729,1
8,3,5,4,3,7,1,9,2,1,1661.0695504922799,1296.76837596226,1
11,1,4,7,3,6,4,10,2,1,1648.0299313297303,1322.75791677645,1
8,3,5,5,6,6,4,6,1,1,1551.9981219917902,1411.20253020715,1
7,4,5,5,6,4,7,5,1,2,1533.58060386227,1475.51858355828,1
5,5,5,6,9,1,6,5,0,3,1381.53186585769,1508.48152492864,0
10,2,9,2,11,2,4,6,3,2,1694.9822795078198,1512.31777750289,1
6,3,6,7,3,7,1,10,2,0,1587.74524621516,1298.25447010011,1
3,8,5,7,7,3,6,5,0,1,1445.0975159454501,1475.50820299633,0
8,4,3,7,2,6,9,6,2,2,1523.5959384544599,1573.53896689196,0
8,3,4,4,3,9,2,9,3,0,1495.4261608507502,1330.23798631805,1
8,4,5,5,8,2,2,8,2,2,1533.9906710182402,1423.75902587695,1
4,8,4,5,9,2,2,10,1,1,1429.61269027842,1572.42631054169,1
9,3,5,4,3,7,2,11,2,1,1668.01950507416,1315.08134956978,1
12,1,4,7,6,5,2,9,3,1,1651.9520180828601,1441.38582753376,1
3,8,1,10,6,6,5,6,0,1,1355.69185438514,1436.3209933201802,0
8,4,5,5,9,3,6,4,1,3,1550.40002857211,1623.31643111385,0
6,4,4,8,4,5,6,6,1,1,1429.03173794445,1570.55476604446,0
3,8,1,10,10,2,10,2,0,3,1303.8819725163198,1699.45688866336,0
9,3,4,4,11,2,4,7,3,1,1499.65930510306,1557.83111206542,1
5,5,6,6,3,9,2,10,2,0,1627.4950050245402,1330.48363981233,1
9,4,2,8,6,3,7,7,2,3,1577.44168063669,1643.01937918582,0
4,6,4,10,11,2,4,5,1,1,1318.64279903982,1650.0525056227402,1
6,5,5,6,6,4,7,6,1,1,1390.05464540537,1473.6240484218602,1
7,5,2,9,3,8,5,8,1,0,1515.70470295944,1451.14853196319,1
8,5,3,7,9,2,3,10,1,2,1513.8039959454998,1559.89806838867,0
9,2,2,8,9,1,6,6,2,2,1434.3565431437698,1512.4726399831698,1
9,4,5,5,3,8,1,11,3,0,1558.6059735998,1341.7650939667901,1
5,8,4,5,2,6,9,7,2,2,1434.9511953518697,1584.47363740352,1
13,1,4,7,7,3,6,6,3,1,1654.35862412238,1479.9902229489098,1
7,4,4,8,8,4,5,6,1,1,1426.09919671405,1556.3907208099401,1
3,8,2,11,11,2,5,7,0,1,1312.83748750828,1619.55001494032,0
3,9,5,8,3,8,2,10,0,1,1436.90785290029,1306.8357665333501,0
9,4,4,4,9,3,6,4,2,3,1510.18264705929,1665.6466504266598,0
10,4,2,8,5,5,6,7,2,2,1571.08475835051,1680.51853122613,1
9,3,3,10,9,1,7,6,1,2,1564.1561558609699,1516.77099299015,0
4,7,4,10,7,5,3,9,1,2,1316.8411175941499,1516.04171652708,0
10,3,10,2,9,3,7,4,2,3,1703.32610103833,1635.51924575362,0
10,2,2,8,8,4,5,7,2,0,1423.09116226315,1555.34317277511,1
7,4,7,6,3,9,2,11,1,0,1470.1387260513502,1343.55737071703,1
5,9,4,5,6,6,6,6,2,2,1442.13372935444,1445.0027766346302,0
3,9,1,11,6,5,6,6,0,2,1304.66063779818,1394.8056013085002,0
3,6,9,7,7,4,4,9,2,1,1589.18107865845,1428.39803432124,1
3,9,2,11,7,5,4,9,0,3,1312.51821978365,1515.9141072782002,0
3,10,5,8,9,3,7,4,0,3,1449.2680090162,1661.98706517212,0
3,9,2,10,11,2,6,7,1,2,1314.10996881312,1636.2410741319102,0
10,4,5,5,7,4,4,10,3,1,1570.8990631694298,1413.50090549228,1
8,3,6,6,9,1,7,7,2,1,1519.0728780182098,1513.0744932719901,1
12,2,4,5,9,4,4,5,2,1,1640.1166703948402,1504.76001167255,1
11,4,2,8,8,5,3,8,2,0,1571.66891296014,1495.1375275999999,1
10,3,3,10,10,2,2,9,2,2,1552.77938331752,1430.91885522421,1
6,7,6,6,9,3,8,4,2,3,1447.6906876576002,1604.9816696572,0
11,3,10,2,13,1,4,8,2,2,1699.4779807010998,1669.9851623253799,1
7,3,7,7,4,7,4,11,3,1,1650.12545318336,1316.33258780005,1
